player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Anthony Lamb,lamban01,2023,PO,GSW,65,31,-7.776346957371196,10.78450211210879,3.008155154737597,-17.71798354100409,10.04722895396712,-7.670754587036974,-10.31668791608511,11.24921026055089,.9325223444657791,.0598784481524994,0,.0598784481524994,-9.495127714072368,7.353855202924669,-2.141272511147698,-.3138598619053629
Anthony Lamb,lamban01,2023,RS,GSW,2553,1195,-.855782397862301,2.122884351447903,1.267101953585602,-.8916541048763389,.3196503513995494,-.5720037534767894,-.9054225265501873,1.862921194448909,.9574986678987222,2.256059376778963,2.256059376778963,0,-.5724267984300188,.8780615698359755,.3056347714059567,-.1947651732952101
Jock Landale,landajo01,2023,PO,PHO,227,113,1.304416541342908,2.29974197010653,3.604158511449437,2.292462999672965,8.960405154542256,11.25286815421522,1.588563318064876,3.922758955324406,5.511322273389283,.4860961618676437,0,.4860961618676437,.0023579101811411,4.991235987922769,4.99359389810391,-1.027070784285123
Jock Landale,landajo01,2023,RS,PHO,2081,979,-1.216710808895639,2.61152126282921,1.394810453933571,.6197719802473024,4.320985936942585,4.940757917189887,-.9165895131467006,3.081019912868764,2.164430399722064,2.459229823493446,2.459229823493446,0,-.6066456608185327,1.961502136741725,1.354856475923192,.1867462411130017
Romeo Langford,langfro01,2023,RS,SAS,1822,844,-2.015490729355498,.5698415613647101,-1.445649167990788,-2.002547097728969,.4669294972921154,-1.535617600436853,-2.089082610300527,.6367297520318126,-1.452352858268714,.5596937821999352,.5596937821999352,0,-2.435320810362268,-.3854424501791185,-2.820763260541387,.165370343675707
Jake LaRavia,laravja01,2023,RS,MEM,883,414,-2.623069656828202,-.9785285701467654,-3.601598226974967,-3.931724483097257,-1.29107187266969,-5.222796355766947,-3.057550933866092,-1.157501442087691,-4.215052375953784,-.3104961487748013,-.3104961487748013,0,-3.151256996206174,-1.140932700032361,-4.292189696238536,.3404176265002513
Zach LaVine,lavinza01,2023,RS,CHI,5749,2768,2.629335944522907,-1.056557161436394,1.572778783086513,.2063838944885909,-.9183258687456729,-.7119419742570819,2.280468148607758,-1.119425606605125,1.161042542002633,5.529927193605674,5.529927193605674,0,1.933563415342284,-.6287156480403133,1.30484776730197,.1210025903795
A.J. Lawson,lawsoaj01,2023,RS,MIN,6,2,.8448657885360424,-13.00509038738229,-12.16022459884625,-40.48665590372359,-10.6881595885591,-51.17481549228269,-7.788633125842428,-13.39844569500687,-21.1870788208493,-.0195586549968878,-.0195586549968878,0,-6.3922729630839,-13.02922038852844,-19.42149335161234,3.999435522644517
A.J. Lawson,lawsoaj01,2023,RS,DAL,233,106,-1.200851848716391,-2.994367064465867,-4.195218913182258,-8.770112996612355,-5.337357789828007,-14.10747078644036,-2.851001779828132,-3.612024354886846,-6.463026134714978,-.2010653318609998,-.2010653318609998,0,-2.745930698943261,-3.798781297464237,-6.544711996407498,.1309006604058412
Damion Lee,leeda03,2023,PO,PHO,180,89,-3.596959821217424,-1.298237838649408,-4.895197659866832,-.8077894170110113,-.8714540224944466,-1.679243439505458,-3.223456881907492,-1.267181469028359,-4.490638350935851,-.0806173164713391,0,-.0806173164713391,-4.593937930128742,-1.492746601624397,-6.086684531753138,-1.086336666395359
